"","Region","RunName","HSI_0.5","Year","Month","Action","HSI_mean"
"135","Sac Deep Water Shipping Channel","smscg_1986.10_hsit.avgmon_rma",16707,"1986","Oct","GateAction",0.403051644563675
"136","Sac Deep Water Shipping Channel","no.action_1940.06_hsit.avgmon_rma",21712,"1940","June","noAction",0.421218633651733
"137","Sac Deep Water Shipping Channel","no.action_1940.07_hsit.avgmon_rma",8564,"1940","July","noAction",0.287370204925537
"138","Sac Deep Water Shipping Channel","no.action_1940.08_hsit.avgmon_rma",0,"1940","August","noAction",0.264825135469437
"139","Sac Deep Water Shipping Channel","no.action_1940.09_hsit.avgmon_rma",21868,"1940","Sep","noAction",0.417645752429962
"140","Sac Deep Water Shipping Channel","no.action_1940.10_hsit.avgmon_rma",16707,"1940","Oct","noAction",0.406995862722397
"141","Sac Deep Water Shipping Channel","no.action_1979.06_hsit.avgmon_rma",22422,"1979","June","noAction",0.419376730918884
"142","Sac Deep Water Shipping Channel","no.action_1979.07_hsit.avgmon_rma",14881,"1979","July","noAction",0.310806453227997
"143","Sac Deep Water Shipping Channel","no.action_1979.08_hsit.avgmon_rma",5676,"1979","August","noAction",0.285593122243881
"144","Sac Deep Water Shipping Channel","no.action_1979.09_hsit.avgmon_rma",0,"1979","Sep","noAction",0.328749239444733
"145","Sac Deep Water Shipping Channel","no.action_1979.10_hsit.avgmon_rma",13833,"1979","Oct","noAction",0.394783616065979
"146","Sac Deep Water Shipping Channel","no.action_1986.06_hsit.avgmon_rma",19065,"1986","June","noAction",0.353848934173584
"147","Sac Deep Water Shipping Channel","no.action_1986.07_hsit.avgmon_rma",1067,"1986","July","noAction",0.24322821199894
"148","Sac Deep Water Shipping Channel","no.action_1986.08_hsit.avgmon_rma",0,"1986","August","noAction",0.2210483700037
"149","Sac Deep Water Shipping Channel","no.action_1986.09_hsit.avgmon_rma",18466,"1986","Sep","noAction",0.362850040197372
"150","Sac Deep Water Shipping Channel","no.action_1986.10_hsit.avgmon_rma",16707,"1986","Oct","noAction",0.403064370155334
"151","Southern Delta","smscg_1940.06_hsit.avgmon_rma",4167,"1940","June","GateAction",0.31119230389595
"152","Southern Delta","smscg_1940.07_hsit.avgmon_rma",0,"1940","July","GateAction",0.214988097548485
"153","Southern Delta","smscg_1940.08_hsit.avgmon_rma",0,"1940","August","GateAction",0.245711967349052
"154","Southern Delta","smscg_1940.09_hsit.avgmon_rma",9,"1940","Sep","GateAction",0.309661835432053
"155","Southern Delta","smscg_1940.10_hsit.avgmon_rma",8,"1940","Oct","GateAction",0.31305980682373
"156","Southern Delta","smscg_1979.06_hsit.avgmon_rma",10287,"1979","June","GateAction",0.28855112195015
"157","Southern Delta","smscg_1979.07_hsit.avgmon_rma",0,"1979","July","GateAction",0.23170904815197
"158","Southern Delta","smscg_1979.08_hsit.avgmon_rma",1,"1979","August","GateAction",0.262511968612671
"159","Southern Delta","smscg_1979.09_hsit.avgmon_rma",9,"1979","Sep","GateAction",0.311619728803635
"160","Southern Delta","smscg_1979.10_hsit.avgmon_rma",7,"1979","Oct","GateAction",0.313541173934937
"161","Southern Delta","smscg_1986.06_hsit.avgmon_rma",4166,"1986","June","GateAction",0.281770288944244
"162","Southern Delta","smscg_1986.07_hsit.avgmon_rma",0,"1986","July","GateAction",0.217514157295227
"163","Southern Delta","smscg_1986.08_hsit.avgmon_rma",0,"1986","August","GateAction",0.145437747240067
"164","Southern Delta","smscg_1986.09_hsit.avgmon_rma",0,"1986","Sep","GateAction",0.285521745681763
"165","Southern Delta","smscg_1986.10_hsit.avgmon_rma",2,"1986","Oct","GateAction",0.31398418545723
"166","Southern Delta","no.action_1940.06_hsit.avgmon_rma",4167,"1940","June","noAction",0.311192482709885
"167","Southern Delta","no.action_1940.07_hsit.avgmon_rma",0,"1940","July","noAction",0.21496270596981
"168","Southern Delta","no.action_1940.08_hsit.avgmon_rma",0,"1940","August","noAction",0.245943635702133
"169","Southern Delta","no.action_1940.09_hsit.avgmon_rma",9,"1940","Sep","noAction",0.309668511152267
