"Month","YT","Year","region","scenario","MetersSquared","Acres","Percent","Region"
7,"Dry","2020",NA,"60 days continuous, followed by 100 TAF",5003574.84853536,1236.40836294733,-31.6065013275875,"Suisun Bay"
7,"Dry","2020",NA,"60 days, 7 days-on/ 7 days-off",6173704.76794681,1525.5533166835,-15.612081035615,"Suisun Bay"
8,"Dry","2020",NA,"base",601333.040681554,148.592401017615,0,"Suisun Bay"
8,"Dry","2020",NA,"60 days continuous",272736.928498975,67.3946587167393,-54.6446128771082,"Suisun Bay"
8,"Dry","2020",NA,"60 days continuous, followed by 100 TAF",272197.300482202,67.2613139356545,-54.734351504502,"Suisun Bay"
8,"Dry","2020",NA,"60 days, 7 days-on/ 7 days-off",389997.24741977,96.3702698236622,-35.1445503513752,"Suisun Bay"
9,"Dry","2020",NA,"base",15635.5916748194,3.86363288080624,0,"Suisun Bay"
9,"Dry","2020",NA,"60 days continuous",25877.0512508112,6.3943487493317,65.5009403480738,"Suisun Bay"
9,"Dry","2020",NA,"60 days continuous, followed by 100 TAF",320.449833332765,0.0791847560656928,-97.9505103484581,"Suisun Bay"
9,"Dry","2020",NA,"60 days, 7 days-on/ 7 days-off",1734.35466666575,0.42856770990644,-88.907649273939,"Suisun Bay"
10,"Dry","2020",NA,"base",0,0,0,"Suisun Bay"
10,"Dry","2020",NA,"60 days continuous",0,0,0,"Suisun Bay"
10,"Dry","2020",NA,"60 days continuous, followed by 100 TAF",0,0,0,"Suisun Bay"
10,"Dry","2020",NA,"60 days, 7 days-on/ 7 days-off",0,0,0,"Suisun Bay"
7,"Wet","2017",NA,"base",35403859.0459631,8748.4705895527,0,"Grizzly Bay"
7,"Wet","2017",NA,"100 TAF continuous starting Aug 15",35376661.5414927,8741.74995021056,-0.0768207342454303,"Grizzly Bay"
7,"Wet","2017",NA,"100 TAF continuous starting July1",36540155.1967272,9029.25504988728,3.20952625330742,"Grizzly Bay"
8,"Wet","2017",NA,"base",25145582.8593423,6213.59925245777,0,"Grizzly Bay"
8,"Wet","2017",NA,"100 TAF continuous starting Aug 15",25633357.6619158,6334.13084504771,1.9398031268635,"Grizzly Bay"
8,"Wet","2017",NA,"100 TAF continuous starting July1",27886221.4970308,6890.8247630238,10.8990857480574,"Grizzly Bay"
9,"Wet","2017",NA,"base",25877826.9744148,6394.54043451276,0,"Grizzly Bay"
9,"Wet","2017",NA,"100 TAF continuous starting Aug 15",27966655.6584286,6910.70044647599,8.07188596661936,"Grizzly Bay"
9,"Wet","2017",NA,"100 TAF continuous starting July1",27128601.8204652,6703.61315284606,4.83338437685326,"Grizzly Bay"
10,"Wet","2017",NA,"base",9190140.54588176,2270.92967959011,0,"Grizzly Bay"
10,"Wet","2017",NA,"100 TAF continuous starting Aug 15",13526375.8175969,3342.43509640729,47.1835577493783,"Grizzly Bay"
10,"Wet","2017",NA,"100 TAF continuous starting July1",9791592.51708726,2419.55146893485,6.54453507215422,"Grizzly Bay"
7,"Above
Normal","2010",NA,"base",8555331.21030561,2114.06511872257,0,"Grizzly Bay"
7,"Above
Normal","2010",NA,"60 days continuous",10685184.478212,2640.36251048857,24.8950416477244,"Grizzly Bay"
7,"Above
Normal","2010",NA,"60 days continuous, followed by 100 TAF",10665933.131195,2635.60540638395,24.6700200028144,"Grizzly Bay"
7,"Above
Normal","2010",NA,"60 days, 7 days-on/ 7 days-off",9460769.13164529,2337.80335627521,10.5833181566249,"Grizzly Bay"
8,"Above
Normal","2010",NA,"base",12.6510638707429,0.00312614113777993,0,"Grizzly Bay"
8,"Above
Normal","2010",NA,"60 days continuous",1945289.83254265,480.690844070452,15376392.0675278,"Grizzly Bay"
8,"Above
Normal","2010",NA,"60 days continuous, followed by 100 TAF",1992873.37158845,492.448974486364,15752514.8942873,"Grizzly Bay"
8,"Above
Normal","2010",NA,"60 days, 7 days-on/ 7 days-off",817295.593781324,201.957827701334,6460191.4200079,"Grizzly Bay"
9,"Above
Normal","2010",NA,"base",5974298.44582019,1476.2790174544,0,"Grizzly Bay"
9,"Above
Normal","2010",NA,"60 days continuous",7552417.53743251,1866.24013558726,26.4151365373523,"Grizzly Bay"
9,"Above
Normal","2010",NA,"60 days continuous, followed by 100 TAF",9823896.38250626,2427.53391559921,64.4359830965489,"Grizzly Bay"
9,"Above
Normal","2010",NA,"60 days, 7 days-on/ 7 days-off",7595594.80165988,1876.90945346416,27.1378534323809,"Grizzly Bay"
10,"Above
Normal","2010",NA,"base",3990816.12142466,986.15061768464,0,"Grizzly Bay"
10,"Above
Normal","2010",NA,"60 days continuous",5295767.22092451,1308.61055912655,32.6988530615137,"Grizzly Bay"
