Kingdom,Phylum,Class,AlgalGroup,Genus,Taxon,Authority,Authority Source,CurrentTaxon,Synonym Authority,Synonym Authority Source,Taxonomic Classification Source,Growth Habit,Habitat Type,Salinity Range
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Oscillatoria,Oscillatoria limosa,C. Agardh ex Gomont,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Oscillatoria,Oscillatoria rupicola,(Hansgirg) Hansgirg ex Forti,www.algaebase.org,Phormidium rupicola,(Hansgirg ex Gomont) Anagnostidis and Komárek,www.algaebase.org,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Oscillatoria,Oscillatoria sp.,Vaucher ex Gomont,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic or benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Oscillatoria,Oscillatoria tenuis,C. Agardh ex Gomont,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Phormidium,Phormidium foveolarum,Gomont,www.algaebase.org,Leptolyngbya foveolara,(Gomont) Anagnostidis and Komárek,www.algaebase.org,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Phormidium,Phormidium insigne,(Skuja) Anagnostidis,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Phormidium,Phormidium interruptum,Kützing ex Forti,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Phormidium,Phormidium retzii,Kützing ex Gomont,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Phormidium,Phormidium sp.,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,filamentous,benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Planktolyngbya,Planktolyngbya limnetica,(Lemmermann) J. Komárková-Legnerová and G. Cronberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Planktolyngbya,Planktolyngbya regularis,J. Komárkova-Legnerová and R. Tavera,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Planktolyngbya,Planktolyngbya sp.,Anagnostidis et. Komárek,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Planktothrix,Planktothrix agardhii,(Gomont) Anagnostidis and Komárek,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Planktothrix,Planktothrix sp.,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,filamentous,planktonic,freshwater
