"","Year","Date","Survey","Station","turbidity","Secchi"
"247",1970,1970-08-23,2,"412",30,0.360000014305115
"248",1970,1970-08-22,2,"414",17,0.589999973773956
"249",1970,1970-08-22,2,"416",42,0.270000010728836
"250",1970,1970-08-22,2,"418",47,0.239999994635582
"251",1970,1970-08-22,2,"501",51,0.219999998807907
"252",1970,1970-08-22,2,"503",34,0.319999992847443
"253",1970,1970-08-22,2,"505",32,0.340000003576279
"254",1970,1970-08-22,2,"507",51,0.219999998807907
"255",1970,1970-08-22,2,"509",43,0.259999990463257
"256",1970,1970-08-22,2,"511",41,0.270000010728836
"257",1970,1970-08-23,2,"513",42,0.270000010728836
"258",1970,1970-08-22,2,"515",47,0.239999994635582
"259",1970,1970-08-22,2,"517",40,0.280000001192093
"260",1970,1970-08-22,2,"519",63,0.180000007152557
"261",1970,1970-08-22,2,"602",46,0.239999994635582
"262",1970,1970-08-22,2,"604",60,0.189999997615814
"263",1970,1970-08-22,2,"606",24,0.439999997615814
"264",1970,1970-08-23,2,"608",26,0.409999996423721
"265",1970,1970-08-23,2,"701",27,0.400000005960464
"266",1970,1970-08-24,2,"703",31,0.349999994039536
"267",1970,1970-08-24,2,"705",26,0.409999996423721
"268",1970,1970-08-24,2,"707",18,0.560000002384186
"269",1970,1970-08-24,2,"709",14,0.689999997615814
"270",1970,1970-08-24,2,"711",11,0.829999983310699
"271",1970,1970-08-25,2,"802",33,0.330000013113022
"272",1970,1970-08-25,2,"804",23,0.449999988079071
"273",1970,1970-08-25,2,"806",20,0.509999990463257
"274",1970,1970-08-25,2,"808",21,0.490000009536743
"275",1970,1970-08-25,2,"810",16,0.620000004768372
"276",1970,1970-08-25,2,"812",13,0.730000019073486
"277",1970,1970-08-25,2,"814",14,0.689999997615814
"278",1970,1970-08-26,2,"902",23,0.449999988079071
"279",1970,1970-08-25,2,"903",13,0.730000019073486
"280",1970,1970-08-25,2,"904",14,0.689999997615814
"281",1970,1970-08-26,2,"906",20,0.509999990463257
"282",1970,1970-08-26,2,"908",19,0.529999971389771
"283",1970,1970-08-26,2,"910",22,0.469999998807907
"284",1970,1970-08-26,2,"912",16,0.620000004768372
"285",1970,1970-08-26,2,"914",23,0.449999988079071
"286",1970,1970-08-26,2,"915",23,0.449999988079071
"287",1970,1970-09-15,3,"101",5,1.42999994754791
"288",1970,1970-09-15,3,"102",3,1.87999999523163
"289",1970,1970-09-15,3,"103",6,1.26999998092651
"290",1970,1970-09-15,3,"104",5,1.42999994754791
"291",1970,1970-09-15,3,"105",4,1.62000000476837
"292",1970,1970-09-15,3,"106",4,1.62000000476837
"293",1970,1970-09-15,3,"107",4,1.62000000476837
"294",1970,1970-09-15,3,"108",5,1.42999994754791
"295",1970,1970-09-15,3,"109",8,1.04999995231628
"296",1970,1970-09-15,3,"110",5,1.42999994754791
"297",1970,1970-09-15,3,"111",5,1.42999994754791
"298",1970,1970-09-15,3,"112",6,1.26999998092651
"299",1970,1970-09-15,3,"113",5,1.42999994754791
"300",1970,1970-09-15,3,"201",4,1.62000000476837
"301",1970,1970-09-15,3,"202",3,1.87999999523163
"302",1970,1970-09-15,3,"203",3,1.87999999523163
