Year,Month,Day,Hour,Minute,Second,salinity
2018,7,4,6,0,0,5.77
2018,7,4,6,15,0,5.79
2018,7,4,6,30,0,5.8
2018,7,4,6,45,0,5.8
2018,7,4,7,0,0,5.79
2018,7,4,7,15,0,5.77
2018,7,4,7,30,0,5.74
2018,7,4,7,45,0,5.7
2018,7,4,8,0,0,5.63
2018,7,4,8,15,0,5.56
2018,7,4,8,30,0,5.52
2018,7,4,8,45,0,5.48
2018,7,4,9,0,0,5.45
2018,7,4,9,15,0,5.4
2018,7,4,9,30,0,5.36
2018,7,4,9,45,0,5.31
2018,7,4,10,0,0,5.28
2018,7,4,10,15,0,5.24
2018,7,4,10,30,0,5.18
2018,7,4,10,45,0,5.12
2018,7,4,11,0,0,5.05
2018,7,4,11,15,0,4.97
2018,7,4,11,30,0,4.88
2018,7,4,11,45,0,4.79
2018,7,4,12,0,0,4.68
2018,7,4,12,15,0,4.57
2018,7,4,12,30,0,4.48
2018,7,4,12,45,0,4.4
2018,7,4,13,0,0,4.34
2018,7,4,13,15,0,4.3
2018,7,4,13,30,0,4.27
2018,7,4,13,45,0,4.25
2018,7,4,14,0,0,4.25
2018,7,4,14,15,0,4.25
2018,7,4,14,30,0,4.28
2018,7,4,14,45,0,4.31
2018,7,4,15,0,0,4.36
2018,7,4,15,15,0,4.43
2018,7,4,15,30,0,4.53
2018,7,4,15,45,0,4.62
2018,7,4,16,0,0,4.72
2018,7,4,16,15,0,4.83
2018,7,4,16,30,0,4.94
2018,7,4,16,45,0,5.03
2018,7,4,17,0,0,5.1
2018,7,4,17,15,0,5.17
2018,7,4,17,30,0,5.23
2018,7,4,17,45,0,5.28
2018,7,4,18,0,0,5.33
2018,7,4,18,15,0,5.38
2018,7,4,18,30,0,5.43
2018,7,4,18,45,0,5.48
2018,7,4,19,0,0,5.53
2018,7,4,19,15,0,5.58
2018,7,4,19,30,0,5.63
2018,7,4,19,45,0,5.67
2018,7,4,20,0,0,5.7
2018,7,4,20,15,0,5.73
2018,7,4,20,30,0,5.75
2018,7,4,20,45,0,5.76
2018,7,4,21,0,0,5.76
2018,7,4,21,15,0,5.76
2018,7,4,21,30,0,5.75
2018,7,4,21,45,0,5.72
2018,7,4,22,0,0,5.7
2018,7,4,22,15,0,5.58
2018,7,4,22,30,0,5.44
2018,7,4,22,45,0,5.4
2018,7,4,23,0,0,5.38
2018,7,4,23,15,0,5.35
2018,7,4,23,30,0,5.32
2018,7,4,23,45,0,5.29
2018,7,5,0,0,0,5.26
2018,7,5,0,15,0,5.24
2018,7,5,0,30,0,5.22
2018,7,5,0,45,0,5.2
2018,7,5,1,0,0,5.17
2018,7,5,1,15,0,5.14
2018,7,5,1,30,0,5.1
2018,7,5,1,45,0,5.05
2018,7,5,2,0,0,5
2018,7,5,2,15,0,4.97
2018,7,5,2,30,0,4.94
2018,7,5,2,45,0,4.92
2018,7,5,3,0,0,4.91
2018,7,5,3,15,0,4.94
2018,7,5,3,30,0,4.96
2018,7,5,3,45,0,5
2018,7,5,4,0,0,5.05
2018,7,5,4,15,0,5.09
2018,7,5,4,30,0,5.14
2018,7,5,4,45,0,5.18
2018,7,5,5,0,0,5.23
2018,7,5,5,15,0,5.26
2018,7,5,5,30,0,5.3
2018,7,5,5,45,0,5.33
2018,7,5,6,0,0,5.36
2018,7,5,6,15,0,5.4
2018,7,5,6,30,0,5.43
2018,7,5,6,45,0,5.46
2018,7,5,7,0,0,5.48
2018,7,5,7,15,0,5.5
2018,7,5,7,30,0,5.51
2018,7,5,7,45,0,5.51
2018,7,5,8,0,0,5.51
2018,7,5,8,15,0,5.49
2018,7,5,8,30,0,5.47
2018,7,5,8,45,0,5.44
2018,7,5,9,0,0,5.35
2018,7,5,9,15,0,5.26
2018,7,5,9,30,0,5.2
2018,7,5,9,45,0,5.15
2018,7,5,10,0,0,5.09
2018,7,5,10,15,0,5.06
2018,7,5,10,30,0,5.01
2018,7,5,10,45,0,4.96
2018,7,5,11,0,0,4.89
2018,7,5,11,15,0,4.82
2018,7,5,11,30,0,4.73
2018,7,5,11,45,0,4.64
2018,7,5,12,0,0,4.56
2018,7,5,12,15,0,4.49
2018,7,5,12,30,0,4.43
2018,7,5,12,45,0,4.37
2018,7,5,13,0,0,4.32
2018,7,5,13,15,0,4.28
2018,7,5,13,30,0,4.24
2018,7,5,13,45,0,4.21
2018,7,5,14,0,0,4.19
2018,7,5,14,15,0,4.18
2018,7,5,14,30,0,4.17
2018,7,5,14,45,0,4.17
2018,7,5,15,0,0,4.19
2018,7,5,15,15,0,4.21
2018,7,5,15,30,0,4.24
2018,7,5,15,45,0,4.28
2018,7,5,16,0,0,4.35
2018,7,5,16,15,0,4.42
2018,7,5,16,30,0,4.5
2018,7,5,16,45,0,4.6
2018,7,5,17,0,0,4.71
2018,7,5,17,15,0,4.79
2018,7,5,17,30,0,4.87
2018,7,5,17,45,0,4.95
2018,7,5,18,0,0,5.03
2018,7,5,18,15,0,5.12
2018,7,5,18,30,0,5.19
2018,7,5,18,45,0,5.25
2018,7,5,19,0,0,5.32
2018,7,5,19,15,0,5.38
2018,7,5,19,30,0,5.44
2018,7,5,19,45,0,5.5
2018,7,5,20,0,0,5.55
2018,7,5,20,15,0,5.6
2018,7,5,20,30,0,5.64
2018,7,5,20,45,0,5.67
2018,7,5,21,0,0,5.7
2018,7,5,21,15,0,5.72
2018,7,5,21,30,0,5.73
2018,7,5,21,45,0,5.73
2018,7,5,22,0,0,5.73
2018,7,5,22,15,0,5.71
2018,7,5,22,30,0,5.68
2018,7,5,22,45,0,5.62
2018,7,5,23,0,0,5.43
2018,7,5,23,15,0,5.37
2018,7,5,23,30,0,5.36
2018,7,5,23,45,0,5.34
2018,7,6,0,0,0,5.31
2018,7,6,0,15,0,5.27
2018,7,6,0,30,0,5.22
2018,7,6,0,45,0,5.18
2018,7,6,1,0,0,5.16
2018,7,6,1,15,0,5.11
2018,7,6,1,30,0,5.08
2018,7,6,1,45,0,5.04
2018,7,6,2,0,0,4.99
2018,7,6,2,15,0,4.94
2018,7,6,2,30,0,4.89
2018,7,6,2,45,0,4.84
2018,7,6,3,0,0,4.77
2018,7,6,3,15,0,4.68
2018,7,6,3,30,0,4.6
2018,7,6,3,45,0,4.54
2018,7,6,4,0,0,4.5
2018,7,6,4,15,0,4.49
2018,7,6,4,30,0,4.49
2018,7,6,4,45,0,4.51
2018,7,6,5,0,0,4.55
2018,7,6,5,15,0,4.61
2018,7,6,5,30,0,4.71
2018,7,6,5,45,0,4.86
2018,7,6,6,0,0,4.96
2018,7,6,6,15,0,5.01
2018,7,6,6,30,0,5.06
2018,7,6,6,45,0,5.1
2018,7,6,7,0,0,5.15
2018,7,6,7,15,0,5.2
2018,7,6,7,30,0,5.25
2018,7,6,7,45,0,5.29
2018,7,6,8,0,0,5.32
2018,7,6,8,15,0,5.35
2018,7,6,8,30,0,5.37
2018,7,6,8,45,0,5.39
2018,7,6,9,0,0,5.4
2018,7,6,9,15,0,5.39
2018,7,6,9,30,0,5.38
2018,7,6,9,45,0,5.36
2018,7,6,10,0,0,5.33
2018,7,6,10,15,0,5.17
2018,7,6,10,30,0,5.03
2018,7,6,10,45,0,4.99
2018,7,6,11,0,0,4.96
2018,7,6,11,15,0,4.92
2018,7,6,11,30,0,4.86
2018,7,6,11,45,0,4.79
2018,7,6,12,0,0,4.73
2018,7,6,12,15,0,4.69
2018,7,6,12,30,0,4.65
2018,7,6,12,45,0,4.59
2018,7,6,13,0,0,4.54
2018,7,6,13,15,0,4.49
2018,7,6,13,30,0,4.44
2018,7,6,13,45,0,4.39
2018,7,6,14,0,0,4.35
2018,7,6,14,15,0,4.32
2018,7,6,14,30,0,4.3
2018,7,6,14,45,0,4.28
2018,7,6,15,0,0,4.27
2018,7,6,15,15,0,4.26
2018,7,6,15,30,0,4.27
2018,7,6,15,45,0,4.28
2018,7,6,16,0,0,4.3
2018,7,6,16,15,0,4.33
2018,7,6,16,30,0,4.37
2018,7,6,16,45,0,4.45
2018,7,6,17,0,0,4.54
2018,7,6,17,15,0,4.65
2018,7,6,17,30,0,4.71
2018,7,6,17,45,0,4.82
2018,7,6,18,0,0,4.9
2018,7,6,18,15,0,4.97
2018,7,6,18,30,0,5.05
2018,7,6,18,45,0,5.13
2018,7,6,19,0,0,5.2
2018,7,6,19,15,0,5.28
2018,7,6,19,30,0,5.35
2018,7,6,19,45,0,5.41
2018,7,6,20,0,0,5.48
2018,7,6,20,15,0,5.54
2018,7,6,20,30,0,5.6
2018,7,6,20,45,0,5.65
2018,7,6,21,0,0,5.69
2018,7,6,21,15,0,5.73
2018,7,6,21,30,0,5.77
2018,7,6,21,45,0,5.8
2018,7,6,22,0,0,5.82
2018,7,6,22,15,0,5.83
2018,7,6,22,30,0,5.83
2018,7,6,22,45,0,5.81
2018,7,6,23,0,0,5.78
2018,7,6,23,15,0,5.75
2018,7,6,23,30,0,5.59
2018,7,6,23,45,0,5.47
2018,7,7,0,0,0,5.46
2018,7,7,0,15,0,5.44
2018,7,7,0,30,0,5.38
2018,7,7,0,45,0,5.33
2018,7,7,1,0,0,5.29
2018,7,7,1,15,0,5.25
2018,7,7,1,30,0,5.21
2018,7,7,1,45,0,5.17
2018,7,7,2,0,0,5.13
2018,7,7,2,15,0,5.09
2018,7,7,2,30,0,5.03
2018,7,7,2,45,0,4.99
2018,7,7,3,0,0,4.93
2018,7,7,3,15,0,4.85
2018,7,7,3,30,0,4.71
2018,7,7,3,45,0,4.6
2018,7,7,4,0,0,4.51
2018,7,7,4,15,0,4.44
2018,7,7,4,30,0,4.39
2018,7,7,4,45,0,4.36
2018,7,7,5,0,0,4.34
2018,7,7,5,15,0,4.34
2018,7,7,5,30,0,4.34
2018,7,7,5,45,0,4.36
2018,7,7,6,0,0,4.39
2018,7,7,6,15,0,4.44
2018,7,7,6,30,0,4.5
2018,7,7,6,45,0,4.58
2018,7,7,7,0,0,4.7
2018,7,7,7,15,0,4.82
2018,7,7,7,30,0,4.9
2018,7,7,7,45,0,4.98
2018,7,7,8,0,0,5.06
2018,7,7,8,15,0,5.12
2018,7,7,8,30,0,5.18
2018,7,7,8,45,0,5.22
2018,7,7,9,0,0,5.26
2018,7,7,9,15,0,5.3
2018,7,7,9,30,0,5.34
2018,7,7,9,45,0,5.38
2018,7,7,10,0,0,5.4
2018,7,7,10,15,0,5.43
2018,7,7,10,30,0,5.44
2018,7,7,10,45,0,5.45
2018,7,7,11,0,0,5.44
2018,7,7,11,15,0,5.43
2018,7,7,11,30,0,5.4
2018,7,7,11,45,0,5.36
2018,7,7,12,0,0,5.26
2018,7,7,12,15,0,5.13
2018,7,7,12,30,0,5.06
2018,7,7,12,45,0,5.04
2018,7,7,13,0,0,5.01
2018,7,7,13,15,0,4.96
2018,7,7,13,30,0,4.9
2018,7,7,13,45,0,4.83
2018,7,7,14,0,0,4.76
2018,7,7,14,15,0,4.7
2018,7,7,14,30,0,4.65
2018,7,7,14,45,0,4.6
2018,7,7,15,0,0,4.56
2018,7,7,15,15,0,4.53
2018,7,7,15,30,0,4.51
2018,7,7,15,45,0,4.49
2018,7,7,16,0,0,4.49
2018,7,7,16,15,0,4.5
2018,7,7,16,30,0,4.53
2018,7,7,16,45,0,4.57
2018,7,7,17,0,0,4.63
2018,7,7,17,15,0,4.71
2018,7,7,17,30,0,4.78
2018,7,7,17,45,0,4.87
2018,7,7,18,0,0,4.95
2018,7,7,18,15,0,5.04
2018,7,7,18,30,0,5.13
2018,7,7,18,45,0,5.21
2018,7,7,19,0,0,5.27
2018,7,7,19,15,0,5.34
2018,7,7,19,30,0,5.4
2018,7,7,19,45,0,5.45
2018,7,7,20,0,0,5.5
2018,7,7,20,15,0,5.55
2018,7,7,20,30,0,5.62
2018,7,7,20,45,0,5.69
2018,7,7,21,0,0,5.77
2018,7,7,21,15,0,5.84
2018,7,7,21,30,0,5.91
2018,7,7,21,45,0,5.96
2018,7,7,22,0,0,6.01
2018,7,7,22,15,0,6.05
2018,7,7,22,30,0,6.08
2018,7,7,22,45,0,6.1
2018,7,7,23,0,0,6.11
2018,7,7,23,15,0,6.11
2018,7,7,23,30,0,6.08
2018,7,7,23,45,0,6.05
2018,7,8,0,0,0,6
2018,7,8,0,15,0,5.88
2018,7,8,0,30,0,5.78
2018,7,8,0,45,0,5.72
2018,7,8,1,0,0,5.66
2018,7,8,1,15,0,5.61
2018,7,8,1,30,0,5.54
2018,7,8,1,45,0,5.47
2018,7,8,2,0,0,5.42
2018,7,8,2,15,0,5.43
2018,7,8,2,30,0,5.39
2018,7,8,2,45,0,5.37
2018,7,8,3,0,0,5.34
2018,7,8,3,15,0,5.28
2018,7,8,3,30,0,5.23
2018,7,8,3,45,0,5.16
2018,7,8,4,0,0,5.01
2018,7,8,4,15,0,4.85
2018,7,8,4,30,0,4.72
2018,7,8,4,45,0,4.62
2018,7,8,5,0,0,4.54
2018,7,8,5,15,0,4.49
2018,7,8,5,30,0,4.46
2018,7,8,5,45,0,4.43
2018,7,8,6,0,0,4.42
2018,7,8,6,15,0,4.42
2018,7,8,6,30,0,4.42
2018,7,8,6,45,0,4.43
2018,7,8,7,0,0,4.45
2018,7,8,7,15,0,4.49
2018,7,8,7,30,0,4.53
2018,7,8,7,45,0,4.6
2018,7,8,8,0,0,4.68
2018,7,8,8,15,0,4.8
2018,7,8,8,30,0,4.92
2018,7,8,8,45,0,5.03
2018,7,8,9,0,0,5.14
2018,7,8,9,15,0,5.22
2018,7,8,9,30,0,5.29
2018,7,8,9,45,0,5.33
2018,7,8,10,0,0,5.38
2018,7,8,10,15,0,5.42
2018,7,8,10,30,0,5.46
2018,7,8,10,45,0,5.49
2018,7,8,11,0,0,5.53
2018,7,8,11,15,0,5.56
2018,7,8,11,30,0,5.58
2018,7,8,11,45,0,5.6
2018,7,8,12,0,0,5.61
2018,7,8,12,15,0,5.61
2018,7,8,12,30,0,5.59
2018,7,8,12,45,0,5.57
2018,7,8,13,0,0,5.55
2018,7,8,13,15,0,5.5
2018,7,8,13,30,0,5.42
2018,7,8,13,45,0,5.31
2018,7,8,14,0,0,5.25
2018,7,8,14,15,0,5.24
2018,7,8,14,30,0,5.21
2018,7,8,14,45,0,5.17
2018,7,8,15,0,0,5.11
2018,7,8,15,15,0,5.03
2018,7,8,15,30,0,4.96
2018,7,8,15,45,0,4.9
2018,7,8,16,0,0,4.85
2018,7,8,16,15,0,4.81
2018,7,8,16,30,0,4.79
2018,7,8,16,45,0,4.8
2018,7,8,17,0,0,4.83
2018,7,8,17,15,0,4.81
2018,7,8,17,30,0,4.85
2018,7,8,17,45,0,4.92
2018,7,8,18,0,0,5.01
2018,7,8,18,15,0,5.11
2018,7,8,18,30,0,5.2
2018,7,8,18,45,0,5.27
2018,7,8,19,0,0,5.34
2018,7,8,19,15,0,5.41
2018,7,8,19,30,0,5.48
2018,7,8,19,45,0,5.53
2018,7,8,20,0,0,5.57
2018,7,8,20,15,0,5.62
2018,7,8,20,30,0,5.67
2018,7,8,20,45,0,5.73
2018,7,8,21,0,0,5.79
2018,7,8,21,15,0,5.86
2018,7,8,21,30,0,5.94
2018,7,8,21,45,0,6.02
2018,7,8,22,0,0,6.1
2018,7,8,22,15,0,6.16
2018,7,8,22,30,0,6.22
2018,7,8,22,45,0,6.27
2018,7,8,23,0,0,6.31
2018,7,8,23,15,0,6.34
2018,7,8,23,30,0,6.35
2018,7,8,23,45,0,6.35
2018,7,9,0,0,0,6.34
2018,7,9,0,15,0,6.31
2018,7,9,0,30,0,6.27
2018,7,9,0,45,0,6.16
2018,7,9,1,0,0,6.04
2018,7,9,1,15,0,5.99
2018,7,9,1,30,0,5.94
2018,7,9,1,45,0,5.88
2018,7,9,2,0,0,5.81
2018,7,9,2,15,0,5.73
2018,7,9,2,30,0,5.66
2018,7,9,2,45,0,5.61
2018,7,9,3,0,0,5.59
2018,7,9,3,15,0,5.55
2018,7,9,3,30,0,5.51
2018,7,9,3,45,0,5.48
2018,7,9,4,0,0,5.45
2018,7,9,4,15,0,5.34
2018,7,9,4,30,0,5.15
2018,7,9,4,45,0,4.99
2018,7,9,5,0,0,4.86
2018,7,9,5,15,0,4.77
2018,7,9,5,30,0,4.71
2018,7,9,5,45,0,4.67
2018,7,9,6,0,0,4.64
2018,7,9,6,15,0,4.63
2018,7,9,6,30,0,4.63
2018,7,9,6,45,0,4.64
2018,7,9,7,0,0,4.66
2018,7,9,7,15,0,4.67
2018,7,9,7,30,0,4.67
2018,7,9,7,45,0,4.67
2018,7,9,8,0,0,4.65
2018,7,9,8,15,0,4.64
2018,7,9,8,30,0,4.64
2018,7,9,8,45,0,4.65
2018,7,9,9,0,0,4.68
2018,7,9,9,15,0,4.73
2018,7,9,9,30,0,4.82
2018,7,9,9,45,0,4.92
2018,7,9,10,0,0,5.03
2018,7,9,10,15,0,5.13
2018,7,9,10,30,0,5.23
2018,7,9,10,45,0,5.32
2018,7,9,11,0,0,5.4
2018,7,9,11,15,0,5.48
2018,7,9,11,30,0,5.53
2018,7,9,11,45,0,5.58
2018,7,9,12,0,0,5.62
2018,7,9,12,15,0,5.66
