ZooCode,LifeStage,TaxonName,Phylum,Class,Order,Family,Genus,Species,Start Year,Notes
SINOCAL,Adult,Sinocalanus doerrii,Arthropoda,Copepoda,Calanoida,Centropagidae,Sinocalanus,doerrii,2005,
SINOCALJUV,Copepodid,Sinocalanus copepodids,Arthropoda,Copepoda,Calanoida,Centropagidae,Sinocalanus,doerrii,2005,
SINONAUP,Nauplii,Sinocalanus doerrii nauplii,Arthropoda,Copepoda,Calanoida,Centropagidae,Sinocalanus,doerrii,2005,
SYNCH,All,Synchaeta spp ,Rotatoria,Monogononta,Ploima,Synchaetidae,Synchaeta,spp,2005,
TORTANUS,Adult,Tortanus spp,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,spp,2005,
TORTJUV,Copepodid,Tortanus spp copepodids,Arthropoda,Copepoda,Calanoida,Tortanidae,Tortanus,spp,2005,
TRICHO,All,Trichocerca spp,Rotatoria,Monogononta,Ploima,Trichocercidae,Trichocerca,spp,2005,
Unidentified_Amphipod,All,Unidentified Amphipod,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA,2013,
Unidentified_Corophium,All,Unidentified Corophium,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,spp,2013,
Unidentified_Mysid,All,Unidentified Mysid,Arthropoda,Malacostraca,Mysidacea,Mysidae,NA,NA,2007,
Unidentified_Gammarus,All,Unidentified Gammarus,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,spp,2013,
